in s,C1 in V
-1.96000E-08,6.38066E-02
-1.94000E-08,6.03887E-02
-1.92000E-08,5.74590E-02
-1.90000E-08,5.55059E-02
-1.88000E-08,5.35527E-02
-1.86000E-08,5.11113E-02
-1.84000E-08,4.81816E-02
-1.82000E-08,4.52520E-02
-1.80000E-08,4.32988E-02
-1.78000E-08,4.18340E-02
-1.76000E-08,4.08574E-02
-1.74000E-08,4.03691E-02
-1.72000E-08,3.98809E-02
-1.70000E-08,3.84160E-02
-1.68000E-08,3.64629E-02
-1.66000E-08,3.45098E-02
-1.64000E-08,3.30449E-02
-1.62000E-08,3.15801E-02
-1.60000E-08,3.01152E-02
-1.58000E-08,2.86504E-02
-1.56000E-08,2.71855E-02
-1.54000E-08,2.62090E-02
-1.52000E-08,2.57207E-02
-1.50000E-08,2.52324E-02
-1.48000E-08,2.37676E-02
-1.46000E-08,2.18145E-02
-1.44000E-08,2.08379E-02
-1.42000E-08,2.03496E-02
-1.40000E-08,1.98613E-02
-1.38000E-08,1.88848E-02
-1.36000E-08,1.74199E-02
-1.34000E-08,1.59551E-02
-1.32000E-08,1.49785E-02
-1.30000E-08,1.40020E-02
-1.28000E-08,1.35137E-02
-1.26000E-08,1.30254E-02
-1.24000E-08,1.20488E-02
-1.22000E-08,1.00957E-02
-1.20000E-08,8.63086E-03
-1.18000E-08,8.14258E-03
-1.16000E-08,8.14258E-03
-1.14000E-08,7.16602E-03
-1.12000E-08,6.67773E-03
-1.10000E-08,7.16602E-03
-1.08000E-08,8.14258E-03
-1.06000E-08,8.14258E-03
-1.04000E-08,7.16602E-03
-1.02000E-08,6.18945E-03
-1.00000E-08,5.70117E-03
-9.80000E-09,5.21289E-03
-9.60000E-09,4.72461E-03
-9.40000E-09,4.72461E-03
-9.20000E-09,5.21289E-03
-9.00000E-09,5.70117E-03
-8.80000E-09,5.21289E-03
-8.60000E-09,4.72461E-03
-8.40000E-09,5.21289E-03
-8.20000E-09,6.67773E-03
-8.00000E-09,8.14258E-03
-7.80000E-09,7.65430E-03
-7.60000E-09,6.67773E-03
-7.40000E-09,6.67773E-03
-7.20000E-09,7.65430E-03
-7.00000E-09,8.63086E-03
-6.80000E-09,9.11914E-03
-6.60000E-09,9.60742E-03
-6.40000E-09,1.10723E-02
-6.20000E-09,1.25371E-02
-6.00000E-09,1.30254E-02
-5.80000E-09,1.30254E-02
-5.60000E-09,1.40020E-02
-5.40000E-09,1.64434E-02
-5.20000E-09,1.88848E-02
-5.00000E-09,2.03496E-02
-4.80000E-09,2.03496E-02
-4.60000E-09,2.13262E-02
-4.40000E-09,2.42559E-02
-4.20000E-09,2.81621E-02
-4.00000E-09,3.10918E-02
-3.80000E-09,3.20684E-02
-3.60000E-09,3.35332E-02
-3.40000E-09,3.64629E-02
-3.20000E-09,4.03691E-02
-3.00000E-09,4.32988E-02
-2.80000E-09,4.62285E-02
-2.60000E-09,4.91582E-02
-2.40000E-09,5.15996E-02
-2.20000E-09,5.35527E-02
-2.00000E-09,5.64824E-02
-1.80000E-09,6.03887E-02
-1.60000E-09,6.52715E-02
-1.40000E-09,6.91777E-02
-1.20000E-09,7.16191E-02
-1.00000E-09,7.40605E-02
-8.00000E-10,7.74785E-02
-6.00000E-10,8.08965E-02
-4.00000E-10,8.38262E-02
-2.00000E-10,8.67559E-02
-2.00000E-24,9.01738E-02
