in s,C1 in V
-8.80000E-09,-1.87129E-02
-8.60000E-09,-2.06660E-02
-8.40000E-09,-2.31074E-02
-8.20000E-09,-2.65254E-02
-8.00000E-09,-2.89668E-02
-7.80000E-09,-3.04316E-02
-7.60000E-09,-3.18965E-02
-7.40000E-09,-3.38496E-02
-7.20000E-09,-3.62910E-02
-7.00000E-09,-3.82441E-02
-6.80000E-09,-3.97090E-02
-6.60000E-09,-4.06855E-02
-6.40000E-09,-4.11738E-02
-6.20000E-09,-4.16621E-02
-6.00000E-09,-4.21504E-02
-5.80000E-09,-4.31270E-02
-5.60000E-09,-4.41035E-02
-5.40000E-09,-4.55684E-02
-5.20000E-09,-4.55684E-02
-5.00000E-09,-4.45918E-02
-4.80000E-09,-4.41035E-02
-4.60000E-09,-4.50801E-02
-4.40000E-09,-4.70332E-02
-4.20000E-09,-4.89863E-02
-4.00000E-09,-4.94746E-02
-3.80000E-09,-4.89863E-02
-3.60000E-09,-4.89863E-02
-3.40000E-09,-4.94746E-02
-3.20000E-09,-5.04512E-02
-3.00000E-09,-5.09395E-02
-2.80000E-09,-5.14277E-02
-2.60000E-09,-5.24043E-02
-2.40000E-09,-5.38691E-02
-2.20000E-09,-5.43574E-02
-2.00000E-09,-5.38691E-02
-1.80000E-09,-5.38691E-02
-1.60000E-09,-5.48457E-02
-1.40000E-09,-5.63105E-02
-1.20000E-09,-5.72871E-02
-1.00000E-09,-5.63105E-02
-8.00000E-10,-5.48457E-02
-6.00000E-10,-5.38691E-02
-4.00000E-10,-5.48457E-02
-2.00000E-10,-5.63105E-02
-2.00000E-24,-5.72871E-02
2.00000E-10,-5.72871E-02
4.00000E-10,-5.72871E-02
6.00000E-10,-5.72871E-02
8.00000E-10,-5.77754E-02
1.00000E-09,-5.77754E-02
1.20000E-09,-5.72871E-02
1.40000E-09,-5.72871E-02
1.60000E-09,-5.77754E-02
1.80000E-09,-5.77754E-02
2.00000E-09,-5.67988E-02
2.20000E-09,-5.58223E-02
2.40000E-09,-5.63105E-02
2.60000E-09,-5.77754E-02
2.80000E-09,-5.82637E-02
3.00000E-09,-5.77754E-02
3.20000E-09,-5.63105E-02
3.40000E-09,-5.58223E-02
3.60000E-09,-5.58223E-02
3.80000E-09,-5.63105E-02
4.00000E-09,-5.63105E-02
4.20000E-09,-5.63105E-02
4.40000E-09,-5.58223E-02
4.60000E-09,-5.53340E-02
4.80000E-09,-5.43574E-02
5.00000E-09,-5.38691E-02
5.20000E-09,-5.38691E-02
5.40000E-09,-5.33809E-02
5.60000E-09,-5.19160E-02
5.80000E-09,-4.99629E-02
6.00000E-09,-4.84980E-02
6.20000E-09,-4.75215E-02
6.40000E-09,-4.70332E-02
6.60000E-09,-4.55684E-02
6.80000E-09,-4.31270E-02
7.00000E-09,-4.06855E-02
7.20000E-09,-3.82441E-02
7.40000E-09,-3.62910E-02
7.60000E-09,-3.33613E-02
7.80000E-09,-3.04316E-02
8.00000E-09,-2.75020E-02
8.20000E-09,-2.50605E-02
8.40000E-09,-2.16426E-02
8.60000E-09,-1.77363E-02
8.80000E-09,-1.48066E-02
9.00000E-09,-1.23652E-02
9.20000E-09,-8.94727E-03
9.40000E-09,-5.04102E-03
9.60000E-09,-1.62305E-03
9.80000E-09,-1.58203E-04
1.00000E-08,1.79492E-03
1.02000E-08,5.70117E-03
1.04000E-08,1.00957E-02
1.06000E-08,1.30254E-02
1.08000E-08,1.54668E-02
1.10000E-08,1.83965E-02
1.12000E-08,2.18145E-02
1.14000E-08,2.42559E-02
1.16000E-08,2.57207E-02
